,pid,n_ica,block_number,alpha,theta,beta,alpha_theta_ratio,beta_theta_ratio,alpha_log,theta_log,beta_log
83,18.0,0.0,3.0,6.731791733904299,10.50917896083585,20.22185869437161,0.6405630505476599,1.9242091860583614,1.9068413391156505,2.352249062031055,3.0067641329270405
84,19.0,0.0,3.0,12.44467660197759,11.592371421887076,24.21168260927341,1.0735229358232357,2.088587548494205,2.5212929493009195,2.4503472457306654,3.18683526912448
85,19.0,0.0,6.0,3.3979087148097253,7.167016747604511,9.986122218401867,0.47410363816234075,1.393344339782603,1.2231601585009302,1.9694894937754133,2.301196350978273
86,19.0,0.0,2.0,5.759664766860692,10.92190848079112,18.27447561167017,0.5273496639337794,1.6731943546139723,1.750879272816306,2.3907707243495997,2.905505310924299
87,19.0,0.0,4.0,7.168825139784764,10.487231764264418,23.575724362947497,0.6835764957739151,2.24804075020851,1.969741783414773,2.3501584947572405,3.1602175539413397
88,19.0,0.0,1.0,10.781493281415585,13.87739020947005,28.385234610844602,0.7769107244716806,2.0454303137973504,2.377831079209792,2.630260912145375,3.3458691018992455
89,19.0,0.0,7.0,13.407323941254182,14.854561792933952,37.83936138965368,0.9025728344024126,2.547322628369501,2.5958011204259948,2.6983070095184414,3.63334986744649
90,19.0,0.0,5.0,15.88327167137204,15.946703698455053,40.53477101823709,0.9960222483415705,2.541890273045217,2.765266459244421,2.7692521431991026,3.7021601494348677
91,20.0,0.0,4.0,7.920343239069929,14.330176609596734,37.03921390823812,0.5527038120218126,2.584700448383409,2.069434543153664,2.6623675662300617,3.6119771867730237
92,20.0,0.0,6.0,13.067999001045413,12.326416160253617,26.13537896633712,1.0601620804579859,2.12027394066171,2.570166417296015,2.5117446147685447,3.26328991239789
93,20.0,0.0,7.0,6.379294939472027,8.352786064382618,12.915727676051187,0.7637325905752791,1.5462778019810124,1.8530575801953608,2.122595143615614,2.5584457684411106
94,20.0,0.0,3.0,7.66881987040781,9.339729167298323,17.357334153665573,0.8210966006657929,1.8584408437066575,2.037162740491202,2.2342772547430605,2.8540151348633964
95,20.0,0.0,2.0,5.299977149153689,10.030115929052998,19.776041579346646,0.5284063700402404,1.9716663016888796,1.6677025090683455,2.3055921601376563,2.984471183788576
96,20.0,0.0,5.0,9.025696203417972,10.640867166069082,28.281258219813676,0.8482105887195487,2.6577963786631176,2.2000756428966413,2.3647019811629097,3.342199331545503
97,20.0,0.0,1.0,7.140366690556557,15.469764069139439,30.34747191848189,0.4615692042001366,1.9617281674658453,1.9657641322535624,2.738887413605036,3.4127132164572207
98,22.0,0.0,1.0,31.179168526654514,36.34505787045045,111.68782211883774,0.8578654252743412,3.0729851226799965,3.4397501963931942,3.593058235188748,4.715707677023716
99,22.0,1.0,3.0,18.873041908183332,21.291506019327485,66.87768391913148,0.8864117874541717,3.141049950079759,2.937734549789929,3.058308214746785,4.202865337781039
100,22.0,0.0,4.0,20.71633781694223,21.93591778575111,70.31376133923227,0.9444026012168463,3.205416888684088,3.030922655483245,3.088125374898598,4.252967531284695
101,22.0,0.0,5.0,24.408385519073136,25.44527322895578,79.45863495565628,0.9592502819461689,3.122726733593699,3.1949267420730285,3.236529998004593,4.37523657122626
102,22.0,0.0,6.0,16.21555300379578,18.02162799836284,52.73930138539921,0.8997829166859326,2.926444902213622,2.7859708436363118,2.891572592070722,3.9653609344475544
103,22.0,0.0,7.0,8.01245428144337,10.317691107571843,22.874680513934134,0.7765743515584869,2.2170348264397153,2.0809971163264063,2.3338600051357026,3.1300306444600787
104,22.0,0.0,2.0,11.041153040813748,14.871977729426193,35.06415980477287,0.742413231225283,2.3577334798850424,2.401629477497947,2.6994787529345756,3.557179520623031
105,23.0,0.0,3.0,7.60552890973968,9.762512188332932,15.629117963086117,0.7790544854662472,1.600931979553818,2.028875470924711,2.2785497636498326,2.7491357105368714
106,23.0,0.0,6.0,17.3271324632845,5.498595210260222,8.822589756529917,3.1511925865996764,1.6045170482939382,2.852273623405386,1.7044926432977991,2.1773154501091807
107,23.0,0.0,4.0,8.063943129338773,5.930610016235558,9.318027131438358,1.3597156291280375,1.5711751583613578,2.087402658890798,1.7801270772358857,2.2319509251137357
108,23.0,0.0,5.0,7.837149249749468,7.806681065526237,17.781158526537858,1.0039028345038683,2.277684764791817,2.058875152134567,2.054979913930961,2.8781393869358878
109,23.0,0.0,7.0,4.853480462543722,5.297903798916887,5.550295886694581,0.9161133623332262,1.0476399907127973,1.5796960687254953,1.6673112326851869,1.7138512392552026
110,23.0,0.0,2.0,3.1065584256673913,6.645799151253298,7.300419352538454,0.4674469322596878,1.098501351964828,1.1335154978990383,1.8939849484786426,1.9879317920576258
111,23.0,0.0,1.0,3.3452909381303533,10.12847946123282,15.503062906472996,0.3302856021907923,1.5306407013818433,1.2075536668174478,2.315351204450427,2.741037611272761
