,pid,n_ica,interval,block_number,workload,alpha,theta,beta,alpha_theta_ratio,beta_theta_ratio
134,18,0,10.0,6,low,3.5816899136340345,8.7378255383374,15.868316795315579,0.4099063202760563,1.816048709795474
135,18,0,11.0,6,high,8.625327088557263,13.573690678825688,26.652453981311595,0.6354445001470649,1.9635377445935287
136,18,0,12.0,6,low,16.070129754274195,20.014179288199884,47.60588591865751,0.8029372337914924,2.3786079475527315
137,18,0,13.0,6,high,5.981347897723116,8.033726999942695,14.192810915599265,0.74452964331073,1.7666533746666402
138,19,0,0.0,6,high,4.052964937676414,5.257332973669766,5.683722854740781,0.7709165384758445,1.081103837859709
139,19,0,1.0,6,low,4.578546620828196,5.4982228905356365,1.8334888053552276,0.8327320867092303,0.3334693485255577
140,19,0,2.0,6,high,2.730505524013114,5.864092580894627,3.1780003477388736,0.46563138053262926,0.5419423898750994
141,19,0,3.0,6,low,3.2597364052022173,11.740074006161027,21.701053645031628,0.27765893157841703,1.8484596974127436
142,19,0,4.0,6,high,2.410427045400046,8.823950408691694,9.648545805867839,0.2731686981179934,1.0934496862498126
143,19,0,5.0,6,low,3.921227442403457,7.387358242044905,5.2921339803551195,0.5308023942965052,0.7163770602371919
144,19,0,6.0,6,high,4.811422067315374,8.012308405077652,8.947682112484879,0.6005038528305057,1.116742099794168
145,19,0,7.0,6,low,1.9897251236679658,6.960371809283696,7.26318346375497,0.2858647753578457,1.0435050975390978
146,19,0,8.0,6,high,4.790160067489284,7.9408650989440535,10.203469151561183,0.6032289942976441,1.28493168243319
147,19,0,9.0,6,low,4.918765232593531,6.756325331839405,12.503620600819955,0.7280237393859186,1.8506540148231514
148,19,0,10.0,6,high,13.132846210270372,17.98753029003584,38.15054273230403,0.7301083583189455,2.1209439048693337
149,19,0,11.0,7,low,10.109856711161651,9.868091916602602,17.679922353659627,1.0244996496386796,1.7916252202630973
150,19,0,12.0,7,high,5.806496322147988,10.583418464583469,22.059658389088582,0.5486409085664472,2.0843604042407846
151,19,0,13.0,7,low,8.410179556313052,8.393287830606416,9.904152876407146,1.0020125278731702,1.1800087255784684
