pid,workload,block_number,interval,ecg_rate_mean,ecg_rate_var,hrv_rmssd,ecg_rate_mean_norm,hrv_rmssd_norm
20,high,6.0,4.0,101.3457104392219,126.36977423339798,117.49669515684714,0.6668732917597046,0.16481394083967166
20,low,6.0,5.0,99.31681392467017,160.70592340171018,121.73952858670359,0.6160567699951885,0.17495142075198666
20,high,6.0,6.0,97.77354344190115,346.0221982156208,211.98786761458564,0.5774034244382843,0.39058343627655207
20,low,7.0,7.0,99.31129072770861,124.50653297175651,112.80946011288695,0.6159184338816441,0.15361464398109734
20,high,7.0,8.0,105.14204494220708,80.09075754818011,65.49079545282899,0.7619577445707204,0.040555288623576616
20,low,7.0,9.0,101.06780196385141,154.08842456922687,126.17055470964549,0.6599126892913582,0.1855385529255414
20,high,7.0,10.0,114.6461016069775,296.8589904364359,107.42510021190003,1.0,0.1407496938859963
20,low,7.0,11.0,105.0474972447129,172.97643097333918,112.05770945917976,0.7595896666066458,0.15181847232434573
22,high,6.0,0.0,100.53322987521076,589.7197427271135,260.10163390596426,0.6465235913347717,0.5055425425785813
22,low,6.0,1.0,102.0352619295266,472.5715831404567,198.62228880331494,0.6841440633656012,0.3586488131159383
22,high,6.0,2.0,108.70243924910933,441.6891563252599,156.98716639968114,0.8511327485639286,0.2591692497553999
22,low,6.0,3.0,103.34276169333579,537.0016506188109,216.56767990280323,0.7168922048938492,0.40152606597001855
22,high,6.0,4.0,106.579118324884,373.1881292648583,156.7042214420259,0.7979512367494693,0.2584932041665402
22,low,6.0,5.0,94.25355096645436,542.9532818428981,209.6166448192787,0.4892403402412595,0.384917830060222
22,high,6.0,6.0,108.51926681663853,735.8979856964347,231.04649170025462,0.8465449414310605,0.43612055716969295
22,low,7.0,7.0,102.87785009493658,1014.8614038523309,311.82619665941627,0.7052478503448696,0.6291289912467154
22,high,7.0,8.0,100.07249167038371,606.160509133602,199.99013782390486,0.6349837652049451,0.3619170399267606
22,low,7.0,9.0,91.2461263970629,391.690329612929,276.9650456597887,0.41391522878805814,0.5458346022914408
22,high,7.0,10.0,95.64139585941655,687.0229938358826,262.2126764450761,0.5240008367491692,0.5105864953257465
22,low,7.0,11.0,93.7720166882445,682.907367261309,306.8980132430713,0.47717964766600623,0.6173539920125147
23,low,6.0,0.0,82.11230631464463,983.9021996332774,399.6145825613234,0.18514606107428228,0.838883395544707
23,high,6.0,1.0,92.88450293578045,660.3487734195874,231.1487856815796,0.4549506371694499,0.4363649700597997
23,low,6.0,2.0,87.12994665890778,1085.4541806103873,467.04661906355585,0.31081980930736913,1.0
23,high,6.0,3.0,85.37618177179777,1251.0007195301623,450.73083322939937,0.266894340010893,0.9610163929643141
23,low,6.0,4.0,74.72017901129786,624.4477222690413,427.743165079125,0.0,0.9060915348578162
23,high,6.0,5.0,88.63292936242256,586.9541874397416,268.8805210580099,0.34846409166334935,0.5265180990381131
23,low,6.0,6.0,97.71883140684417,472.3929389199139,201.4536035335626,0.5760330857835954,0.36541372545054734
23,high,6.0,7.0,91.61361054389137,556.035845326885,273.97859879455746,0.4231193779457344,0.5386990298948354
23,low,6.0,8.0,95.75819086474554,830.6879731940584,313.2221537810834,0.526926129334434,0.6324643772601685
23,high,7.0,9.0,88.42818758719113,709.134531731126,354.1990065290514,0.3433360504830666,0.7303711248310886
23,low,7.0,10.0,104.72112486560799,1048.2901709248601,314.8095131755056,0.7514152185817371,0.636257084242569
23,high,7.0,11.0,97.28867469283794,585.3347777350547,270.4988451852398,0.5652592154246727,0.5303847906258532
23,low,7.0,12.0,106.59159665994879,767.4168703716642,259.2911080199721,0.7982637739246562,0.5036059381788336
23,high,7.0,13.0,107.16510666284621,787.0309325172119,316.1926796288737,0.8126281258447163,0.6395619092771172
23,low,7.0,14.0,97.36203703441063,829.1356428619387,271.15267038893273,0.5670966768232637,0.5319469872046678
