pid,workload,block_number,interval,tonic_avg,amplitude_avg,peaks_num,tonic_avg_norm,amplitude_avg_norm
11,low,6.0,0.0,215069.6754015692,0.38083176780025985,2,0.49610685339712207,0.02906836131763737
11,high,6.0,1.0,211608.55254728466,8.439177385664625,2,0.4869913012376588,0.6441507201121845
11,low,6.0,2.0,202429.37233257128,4.001904025603929,5,0.4628161131408961,0.3054597909378587
11,high,6.0,3.0,215267.51198713135,7.79007742282797,3,0.4966278952065769,0.5946058190657546
11,low,6.0,4.0,203575.95459778642,3.078769109711181,4,0.46583586450012515,0.23499818151096025
11,high,6.0,5.0,216659.54146778557,8.111450579812207,2,0.5002940803934754,0.6191357869803725
11,low,6.0,6.0,204196.5895713274,2.4562943969550473,2,0.46747042955646123,0.1874855489225518
11,high,6.0,7.0,215412.40044227478,11.064521027506816,4,0.49700948763359204,0.844539563734223
11,low,6.0,8.0,214465.24444265457,2.7732203009297955,5,0.4945149648208584,0.21167606417517812
11,high,6.0,9.0,232100.3784944458,10.018175327705848,3,0.5409605811875907,0.7646734458400795
11,low,6.0,10.0,230382.1967494881,9.184738843292424,3,0.5364354094514269,0.7010583934399937
11,high,6.0,11.0,215543.23669152329,8.74777024038219,2,0.49735407079477545,0.6677051852577396
11,high,7.0,13.0,211245.5671737555,0.814445468297255,4,0.4860353074042036,0.06216549444581504
11,low,7.0,14.0,208727.10189314274,9.446026831823529,1,0.4794024305622839,0.7210021436750434
11,high,7.0,15.0,201772.34983651986,0.47072150464741497,14,0.4610857143411878,0.03592952041818513
11,low,7.0,16.0,205283.6236517462,1.7957145071681773,3,0.4703333489835788,0.13706440095371708
11,high,7.0,17.0,197768.59195962784,0.0,1,0.450541025436114,0.0
11,low,7.0,18.0,192634.13237412384,8.805625785569228,3,0.43701840976115197,0.6721212188818247
11,high,7.0,19.0,200917.01598944864,1.6218166363616304,2,0.45883302334321285,0.1237910173539966
11,low,7.0,20.0,192084.36151390514,3.427527281873598,1,0.4355704793746668,0.2616184097010965
11,high,7.0,21.0,181943.75692809038,1.0144774640111496,5,0.40886318988447773,0.07743365959938292
11,low,7.0,22.0,195143.86830949306,4.139377389373379,5,0.44362829614441546,0.31595294236974575
